GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InfluxDB support for Micronaut,io.kokuwa.micronaut.influxdb,InfluxDBHealthIndicator,0,45,0,4,0,14,0,6,0,4
InfluxDB support for Micronaut,io.kokuwa.micronaut.influxdb,InfluxDBFactoryReactive,15,0,0,0,5,0,5,0,5,0
InfluxDB support for Micronaut,io.kokuwa.micronaut.influxdb,InfluxDBFactory,27,28,0,0,9,11,9,3,9,3
