GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Keycloak Metrics,io.kokuwa.keycloak.metrics.stats,MetricsStatsTask,1,214,0,12,1,46,1,14,1,8
Keycloak Metrics,io.kokuwa.keycloak.metrics.stats,MetricsStatsFactoryImpl,0,106,0,2,0,29,0,10,0,9
Keycloak Metrics,io.kokuwa.keycloak.metrics.stats,MetricsStatsSpi,0,11,0,0,0,5,0,5,0,5
Keycloak Metrics,io.kokuwa.keycloak.metrics.event,MetricsEventListener,1,188,0,10,1,29,1,14,1,9
Keycloak Metrics,io.kokuwa.keycloak.metrics.event,MetricsEventListenerFactory,35,0,2,0,9,0,8,0,7,0
